sdate,variable,value,sign_if_LT_LOD
02-Jan-47,TEMP,5.6,
08-Jan-47,TEMP,5.1,
13-Jan-47,TEMP,4.95,
20-Jan-47,TEMP,5.1,
27-Jan-47,TEMP,4.6,
03-Feb-47,TEMP,4,
10-Feb-47,TEMP,3.4,
18-Feb-47,TEMP,2.8,
24-Feb-47,TEMP,1.6,
05-Mar-47,TEMP,0.6,
14-Mar-47,TEMP,2.5,
20-Mar-47,TEMP,2.5,
26-Mar-47,TEMP,2.6,
01-Apr-47,TEMP,3.05,
08-Apr-47,TEMP,3.5,
16-Apr-47,TEMP,4,
22-Apr-47,TEMP,5.2,
28-Apr-47,TEMP,5.7,
05-May-47,TEMP,6,
12-May-47,TEMP,8.4,
19-May-47,TEMP,8.9,
21-May-47,TEMP,12,
26-May-47,TEMP,13.1,
29-May-47,TEMP,14.9,
02-Jun-47,TEMP,18.9,
05-Jun-47,TEMP,19.7,
09-Jun-47,TEMP,13.7,
13-Jun-47,TEMP,15.5,
16-Jun-47,TEMP,13.9,
19-Jun-47,TEMP,14.3,
24-Jun-47,TEMP,15,
27-Jun-47,TEMP,16.3,
30-Jun-47,TEMP,17,
03-Jul-47,TEMP,17.6,
08-Jul-47,TEMP,15.1,
15-Jul-47,TEMP,16.6,
21-Jul-47,TEMP,17.95,
28-Jul-47,TEMP,18.75,
04-Aug-47,TEMP,19.5,
11-Aug-47,TEMP,20,
18-Aug-47,TEMP,23.2,
25-Aug-47,TEMP,21.9,
01-Sep-47,TEMP,21.1,
10-Sep-47,TEMP,18.1,
15-Sep-47,TEMP,17.05,
23-Sep-47,TEMP,15.5,
29-Sep-47,TEMP,14.35,
06-Oct-47,TEMP,14.5,
13-Oct-47,TEMP,13.85,
20-Oct-47,TEMP,12.65,
27-Oct-47,TEMP,11.75,
03-Nov-47,TEMP,10.85,
10-Nov-47,TEMP,9.6,
13-Nov-47,TEMP,9.6,
17-Nov-47,TEMP,8.7,
20-Nov-47,TEMP,8.4,
22-Nov-47,TEMP,8.9,
24-Nov-47,TEMP,8.75,
28-Nov-47,TEMP,7.55,
01-Dec-47,TEMP,7,
04-Dec-47,TEMP,6.75,
08-Dec-47,TEMP,6.7,
15-Dec-47,TEMP,6.6,
22-Dec-47,TEMP,6.45,
29-Dec-47,TEMP,6.25,
16-Mar-48,TEMP,5.75,
23-Mar-48,TEMP,5.9,
31-Mar-48,TEMP,6.45,
06-Apr-48,TEMP,6.3,
15-Apr-48,TEMP,8.4,
21-Apr-48,TEMP,8.6,
01-May-48,TEMP,9.2,
08-May-48,TEMP,9.2,
12-May-48,TEMP,13,
19-May-48,TEMP,16.8,
27-May-48,TEMP,13.4,
02-Jun-48,TEMP,13.3,
10-Jun-48,TEMP,12.6,
14-Jun-48,TEMP,16.7,
24-Jun-48,TEMP,15.4,
30-Jun-48,TEMP,14.15,
07-Jul-48,TEMP,14.3,
13-Jul-48,TEMP,14.1,
22-Jul-48,TEMP,15.45,
29-Jul-48,TEMP,20.5,
06-Aug-48,TEMP,18.7,
14-Aug-48,TEMP,16.2,
20-Aug-48,TEMP,16,
26-Aug-48,TEMP,15.4,
03-Sep-48,TEMP,14.9,
10-Sep-48,TEMP,14.8,
17-Sep-48,TEMP,13.65,
24-Sep-48,TEMP,12.9,
02-Oct-48,TEMP,13.2,
08-Oct-48,TEMP,12.8,
15-Oct-48,TEMP,12.5,
22-Oct-48,TEMP,11.7,
29-Oct-48,TEMP,10.55,
05-Nov-48,TEMP,9.8,
12-Nov-48,TEMP,9.3,
18-Nov-48,TEMP,9.3,
27-Nov-48,TEMP,8.35,
01-Dec-48,TEMP,8.1,
10-Dec-48,TEMP,7.8,
18-Dec-48,TEMP,7.7,
22-Dec-48,TEMP,7.3,
31-Dec-48,TEMP,6.5,
10-Jan-49,TEMP,6,
13-Jan-49,TEMP,5.75,
22-Jan-49,TEMP,5.75,
